,season,winning_team,winning_score,losing_team,losing_score,Winning_field_goal_%,Winning_3_%,Winning_free_throw_%,Winning_total_rebounds,Winning_assists,Winning_turnovers,Winning_steals,Losing_field_goal_%,Losing_3_%,Losing_free_throw_%,Losing_total_rebounds,Losing_assists,Losing_turnover,Losing_steals
0,2003,UNC Asheville,92,TX Southern,84,46.37681159,37.93103448,65.38461538,9226,17,12,5,43.28358209,38.70967742,45.16129032,9712,16,15,5
1,2003,Arizona,80,Vermont,51,46.96969697,30.43478261,78.57142857,9232,22,16,10,31.25,25.0,100.0,9710,12,17,10
2,2003,Arizona St,84,Memphis,71,52.54237288,42.85714286,72.72727273,9223,18,9,7,36.23188406,25.0,66.66666667,9706,11,12,2
3,2003,C Michigan,79,Creighton,73,54.71698113,42.85714286,72.0,9216,15,18,13,45.0,41.17647059,70.58823529,9701,20,21,6
4,2003,California,76,NC State,74,42.1875,35.0,65.21739129999999,9216,17,13,8,44.64285714,42.85714286,75.0,9710,16,14,5
5,2003,Connecticut,58,BYU,53,32.69230769,28.57142857,74.07407407,9225,8,14,3,31.25,11.76470588,84.61538462,9710,11,11,8
6,2003,Duke,67,Colorado St,57,35.18518519,30.76923077,80.64516129,9223,4,16,10,33.33333333,27.27272727,81.81818182,9708,8,19,5
7,2003,Gonzaga,74,Cincinnati,69,42.55319149,42.85714286,75.67567568,9224,12,12,2,39.39393939,37.03703704,70.0,9706,13,10,7
8,2003,Illinois,65,WKU,60,42.85714286,35.71428571,85.71428571,9219,15,14,11,37.93103448,33.33333333,61.53846154,9702,10,14,6
9,2003,Kansas,64,Utah St,61,54.90196078,33.33333333,54.54545455,9216,13,11,8,41.07142857,35.29411765,90.0,9703,13,13,6
10,2003,Marquette,72,Holy Cross,68,43.1372549,56.25,82.60869565,9216,14,10,4,44.44444444,33.33333333,60.0,9704,14,9,4
11,2003,Missouri,72,S Illinois,71,53.84615385,38.46153846,61.11111111,9228,7,23,4,40.0,42.10526316,52.38095238,9702,19,13,6
12,2003,Notre Dame,70,WI Milwaukee,69,42.59259259,23.07692308,84.0,9229,7,20,6,34.84848485,34.782608700000004,75.0,9707,15,12,11
13,2003,Oklahoma,71,S Carolina St,54,46.15384615,55.55555556,54.16666667,9220,16,14,8,40.38461538,30.0,75.0,9706,8,18,7
14,2003,Stanford,77,San Diego,69,45.3125,33.33333333,73.33333333,9225,16,14,4,32.78688525,22.22222222,78.125,9709,7,11,3
15,2003,Tulsa,84,Dayton,71,57.89473684,66.66666667,76.92307692,9222,18,12,6,42.42424242,32.14285714,66.66666667,9700,11,11,3
16,2003,Wisconsin,81,Weber St,74,53.44827586,37.5,59.09090909,9220,16,9,7,40.84507042,29.16666667,60.0,9705,9,10,4
17,2003,Auburn,65,St Joseph's PA,63,43.85964912,38.88888889,61.53846154,9220,11,15,4,37.28813559,25.0,81.25,9705,11,12,8
18,2003,Butler,47,Mississippi St,46,38.29787234,27.77777778,75.0,9215,5,8,3,36.36363636,28.57142857,57.14285714,9706,10,10,6
