,index,season,winning_team,winning_score,losing_team,losing_score,Winning_field_goal_percent,Winning_3_percent,Winning_free_throw_percent,Winning_total_rebounds,Winning_assists,Winning_turnovers,Winning_steals,Losing_field_goal_percent,Losing_3_percent,Losing_free_throw_percent,Losing_total_rebounds,Losing_assists,Losing_turnover,Losing_steals
0,787,2015,Wisconsin,86,Coastal Car,72,54.1,40.74,75.0,36,14,9,5,48.28,58.33,81.82,25,9,6,8
1,789,2015,Wisconsin,85,Arizona,78,55.56,66.67,74.19,21,11,9,5,55.81,33.33,93.33,22,8,10,5
2,799,2015,Wisconsin,79,North Carolina,72,46.43,33.33,86.96,35,13,5,3,46.43,61.54,66.67,28,12,4,3
3,814,2015,Wisconsin,72,Oregon,65,43.14,30.43,72.41,32,11,6,3,44.07,42.11,71.43,34,13,8,3
4,817,2015,Wisconsin,71,Kentucky,64,47.92,41.18,81.82,34,10,10,1,48.15,60.0,90.0,22,7,6,5
5,823,2015,Duke,68,Wisconsin,63,47.06,36.36,80.0,33,7,5,4,40.98,33.33,60.0,35,13,5,3
6,60712,2015,Wisconsin,93,WI Milwaukee,54,60.94,50.0,77.78,34,10,4,10,34.62,37.5,70.59,28,10,14,3
7,60749,2015,Wisconsin,92,Indiana,78,60.42,54.55,90.32,22,15,6,3,49.12,54.17,81.82,25,11,11,2
8,60901,2015,Wisconsin,89,Chattanooga,45,53.33,44.44,73.91,49,20,9,5,32.14,27.27,30.0,21,7,11,7
9,60902,2015,Wisconsin,89,Penn St,72,63.83,46.15,82.14,25,9,9,4,53.7,41.67,64.29,22,7,9,5
10,61112,2015,Wisconsin,86,Nicholls St,43,51.85,28.57,74.29,41,14,10,10,34.62,20.0,62.5,26,8,21,5
11,61297,2015,Wisconsin,84,WI Green Bay,60,51.92,35.29,64.86,45,13,7,4,35.38,16.67,66.67,31,13,6,4
12,61541,2015,Wisconsin,82,Iowa,50,49.15,40.91,78.95,37,16,1,6,43.48,40.0,40.0,23,7,9,0
13,61683,2015,Wisconsin,81,Northwestern,58,52.63,48.0,60.0,37,23,7,2,39.34,28.57,75.0,32,16,9,1
14,61721,2015,Duke,80,Wisconsin,70,65.22,58.33,72.22,28,11,10,6,40.74,42.86,80.95,27,11,8,2
15,61845,2015,Wisconsin,80,Michigan St,69,48.08,50.0,85.0,23,18,7,7,50.94,42.86,100.0,32,16,13,3
16,62181,2015,Wisconsin,78,Boise St,54,55.36,37.04,100.0,29,16,5,5,42.86,63.64,55.56,25,8,11,3
17,62508,2015,Wisconsin,76,Minnesota,63,50.0,50.0,83.33,33,18,9,3,40.98,37.5,77.78,33,12,8,5
18,62888,2015,Wisconsin,74,Iowa,63,44.23,36.84,80.77,35,9,6,5,47.92,57.14,65.0,24,11,8,4
19,63293,2015,Wisconsin,72,Ohio St,48,50.0,33.33,100.0,41,10,9,5,33.96,20.0,64.29,27,9,9,7
20,63294,2015,Wisconsin,72,UAB,43,51.92,27.78,59.09,33,14,10,8,35.29,21.05,37.5,32,7,19,4
21,63521,2015,Wisconsin,71,Michigan,60,49.02,36.84,87.5,34,13,7,4,51.92,40.0,0.0,19,13,5,5
22,63522,2015,Wisconsin,71,Purdue,51,47.27,36.36,91.67,35,18,3,5,37.25,50.0,100.0,27,12,9,3
23,63722,2015,Wisconsin,70,Nebraska,55,48.84,52.38,73.91,27,9,6,1,42.0,29.41,57.14,24,9,5,5
24,63950,2015,Wisconsin,69,Oklahoma,56,43.55,32.14,75.0,32,19,11,12,36.96,25.0,89.47,35,6,21,5
25,63951,2015,Wisconsin,69,Michigan,64,47.06,33.33,73.68,30,12,8,4,42.59,35.0,91.67,33,8,9,2
26,64143,2015,Wisconsin,68,Illinois,49,50.94,35.71,60.0,32,11,4,6,40.0,36.36,81.82,25,4,10,3
27,64144,2015,Wisconsin,68,Georgetown,65,48.84,37.5,74.07,26,9,14,6,53.19,54.55,69.23,26,7,15,8
28,64145,2015,Wisconsin,68,Buffalo,56,42.37,30.0,92.31,37,11,8,3,35.19,55.56,72.22,32,6,9,2
29,64146,2015,Wisconsin,68,Michigan St,61,52.0,28.57,80.0,35,10,8,3,45.28,52.94,44.44,24,14,7,3
30,64147,2015,Wisconsin,68,California,56,43.64,27.27,94.44,39,8,6,2,38.89,41.67,69.23,29,7,6,4
31,64265,2015,Rutgers,67,Wisconsin,62,54.35,45.45,80.0,28,8,7,2,42.86,23.81,56.25,31,11,5,1
32,64695,2015,Wisconsin,65,Nebraska,55,39.13,27.78,77.42,38,9,8,3,35.48,22.22,70.0,36,5,8,6
33,64696,2015,Wisconsin,65,Northwestern,50,38.89,32.14,82.35,39,14,5,1,39.58,28.57,66.67,25,8,5,2
34,65025,2015,Wisconsin,63,Minnesota,53,46.94,35.29,78.57,27,11,8,2,46.3,33.33,0.0,29,7,11,4
35,65134,2015,Wisconsin,62,Purdue,55,43.59,21.43,80.65,21,6,8,6,51.02,40.0,42.86,26,10,12,3
36,65135,2015,Wisconsin,62,N Kentucky,31,48.94,23.53,60.0,42,13,9,3,26.42,12.5,20.0,28,4,10,5
37,65389,2015,Maryland,59,Wisconsin,53,48.0,28.57,81.82,31,8,6,5,38.46,27.27,58.33,31,6,8,3
38,65697,2015,Wisconsin,55,Penn St,47,39.22,22.73,66.67,37,12,8,3,38.89,15.38,100.0,28,5,6,5
39,65842,2015,Wisconsin,49,Marquette,38,32.69,26.67,77.78,41,14,11,7,28.89,42.86,66.67,28,9,10,4
